reference_id,amount_kobo,transaction_date,customer_name
TXN100046,1170410,2026-08-28 12:10:30.338850,Joseph Okonkwo
TXN100048,929803,2026-09-04 19:34:21.089707,Benjamin Obasanjo
TXN200049,3551334,2026-09-15 21:03:27.061708,Andrew Adetokunbo
TXN100050,542909,2026-09-23 18:30:21.608571,Cornelius Eze
TXN100051,3936287,2026-09-22 00:09:10.884347,Michael Nnamani
TXN100052,4650306,2026-09-14 14:33:25.007225,David Uche
TXN100053,970929,2026-08-31 01:03:06.853064,Angela Ibrahim
TXN100055,2863598,2026-08-27 10:27:10.699813,Emmanuel Ogunleye
TXN100056,3657075,2026-09-10 00:38:21.848207,Paul Okonkwo
TXN100057,37619,2026-08-28 21:42:39.577465,Elizabeth Ekwueme
TXN100058,2219467,2026-09-11 18:01:19.299180,Peter Adeyemi
TXN100058,2219467,2026-09-11 18:01:19.299180,Peter Adeyemi
TXN100059,1508640,2026-09-03 08:53:45.547471,Sarah Oshodi
TXN100060,902443,2026-09-11 12:41:17.123623,Gloria Eze
TXN100061,4268584,2026-09-08 03:42:15.632812,Deborah Balogun
TXN100062,1292108,2026-09-19 22:12:49.337749,Andrew Oyekan
TXN100063,1365171,2026-08-27 00:22:34.414715,Charity Adetokunbo
TXN100064,4459042,2026-09-09 03:31:59.026814,Juliet Uche
TXN100065,2729218,2026-09-05 07:55:14.620557,Samuel Obasanjo
TXN100066,948813,2026-09-02 13:57:31.287874,Stephen Ojo
TXN100067,2589615,2026-08-28 07:13:04.034978,Simon Uche
TXN100068,2031046,2026-08-27 23:20:40.790945,Benjamin Okafor
TXN100069,670662,2026-09-22 08:50:52.875019,Benjamin Ogunleye
TXN200070,4478663,2026-09-24 16:05:37.450790,Gloria Chukwu
TXN100071,1064955,2026-09-02 12:43:09.778281,Hope Chukwu
TXN100072,3996626,2026-09-14 18:37:26.350065,Ruth Abiola
TXN100073,2233456,2026-09-13 08:30:15.426523,Emmanuel Obasanjo
TXN100074,3559538,2026-09-08 20:09:16.050984,Benjamin Uche
TXN100074,3559538,2026-09-08 20:09:16.050984,Benjamin Uche
TXN100077,3356989,2026-09-17 08:23:36.458021,Cornelius Balogun
TXN100077,3356989,2026-09-17 08:23:36.458021,Cornelius Balogun
TXN100078,3142478,2026-09-08 01:10:55.456447,Stephen Abiola
TXN100079,4351740,2026-09-03 03:16:44.555882,James Akinwale
TXN100080,2089583,2026-09-20 22:26:01.619923,Faith Obasanjo
TXN100081,2846067,2026-09-17 05:11:51.977110,Angela Akinwale
TXN100082,4656630,2026-09-12 13:00:04.766975,David Okafor
TXN100083,1857317,2026-09-09 14:57:03.735937,Victoria Eze
TXN100084,503868,2026-08-31 23:55:03.892498,Peter Oshodi
TXN200085,604394,2026-09-18 09:09:55.625884,Philip Oshodi
TXN100086,4323054,2026-09-05 19:34:21.653483,Joseph Adeyemi
TXN100087,4081951,2026-09-05 04:47:00.243229,Blessing Obasanjo
TXN100089,4800256,2026-09-17 10:58:52.424246,Joseph Obi
TXN200090,3424666,2026-09-23 21:37:29.239420,Charity Ogunleye
TXN100091,1607274,2026-09-25 04:44:47.919220,Ruth Obi
TXN100092,3625919,2026-09-17 18:21:20.301769,Faith Abiola
TXN100093,3458575,2026-08-28 18:46:32.009784,Mary Eze
TXN100094,464420,2026-09-20 06:32:28.284540,Philip Okonkwo
TXN100095,835588,2026-09-25 09:39:50.019050,Emmanuel Akinwale
TXN200096,926615,2026-09-13 05:51:43.819762,Victoria Ogunleye
TXN100097,2095880,2026-08-30 17:53:57.757096,Daniel Balogun
TXN100098,4508690,2026-09-09 02:18:15.717247,Ruth Obi
TXN100099,3548999,2026-09-16 23:18:51.435459,Sarah Abiola
TXN100100,3890805,2026-08-30 16:07:57.668847,Juliet Chukwu
TXN100101,642374,2026-09-15 01:04:00.530957,Samuel Chukwu
TXN100102,4626463,2026-09-18 03:44:29.710079,Esther Adeyemi
TXN200103,792344,2026-09-12 03:02:02.058006,Comfort Nnamani
TXN100104,1992894,2026-09-18 16:00:00.953053,Charity Uche
TXN100105,4083853,2026-09-09 19:42:19.277139,Charity Adeyemi
TXN100106,3373837,2026-09-10 09:01:06.634178,John Balogun
TXN100107,3189056,2026-09-25 10:51:35.905446,Mary Okafor
TXN100108,3285095,2026-09-01 03:36:52.010762,Simon Okafor
TXN100109,3826886,2026-08-26 14:13:43.957231,Mark Olawale
TXN100110,4672122,2026-09-01 07:13:30.679999,Benjamin Oyekan
TXN100111,4092495,2026-08-31 15:21:18.156785,Joseph Adetokunbo
TXN100112,2498965,2026-09-19 05:04:40.939403,Agnes Ojo
TXN100113,500593,2026-09-15 12:54:31.415819,Nathaniel Ekwueme
TXN100114,4558263,2026-09-02 23:41:34.527705,Ruth Chukwu
TXN100115,2640707,2026-09-15 18:48:18.228827,Emmanuel Okonkwo
TXN100116,4910436,2026-09-20 17:02:34.650020,Agnes Akinwale
TXN100117,4465408,2026-09-09 23:29:55.024516,Stephen Uche
TXN100118,4269974,2026-09-18 07:16:10.245381,Joy Akinwale
TXN100119,1568812,2026-09-25 12:54:58.159619,Mary Chukwu
TXN100120,580097,2026-09-12 21:37:46.258196,Daniel Akinwale
TXN100121,1983033,2026-09-21 10:21:57.765898,James Adetokunbo
TXN100122,4788783,2026-08-27 23:21:41.294981,Samuel Okafor
TXN100123,4997188,2026-09-22 20:36:52.420871,Emmanuel Okafor
TXN100124,697726,2026-09-07 21:26:59.404950,Mary Ogunleye
TXN100125,4906198,2026-09-02 09:38:49.354681,Patience Eze
TXN100126,2663611,2026-09-07 10:48:32.689487,Joseph Oshodi
TXN100127,2645565,2026-08-28 20:21:33.014113,Philip Eze
TXN100128,3330092,2026-09-08 10:29:30.128957,Nathaniel Eze
TXN100129,2526557,2026-09-21 10:29:25.798636,Agnes Ogunleye
TXN100130,618535,2026-09-06 14:01:10.104619,Sarah Okonkwo
TXN100131,4732732,2026-09-01 07:06:20.888126,Mark Chukwu
TXN100131,4732732,2026-09-01 07:06:20.888126,Mark Chukwu
TXN100132,624555,2026-09-25 12:10:49.013275,Peter Abiola
TXN100133,4253668,2026-08-27 07:59:33.816853,Joy Ibrahim
TXN100134,2938098,2026-09-22 11:04:41.138496,Peace Abiola
TXN100135,2059206,2026-09-25 12:56:20.261171,Hope Chukwu
TXN100136,1333276,2026-09-18 15:08:27.999784,Angela Chukwu
TXN100138,4447076,2026-09-12 13:05:17.886248,Victoria Olawale
TXN100139,4662341,2026-09-12 22:08:13.522612,Juliet Eze
TXN100140,878583,2026-09-06 01:45:11.218163,Mary Obi
TXN100141,2228500,2026-09-20 00:46:22.043054,Peter Chukwu
TXN100143,1313991,2026-09-15 21:22:39.247909,Elizabeth Ogunleye
TXN100145,1717898,2026-09-12 10:19:39.092212,Andrew Adeyemi
TXN100146,2224457,2026-09-24 23:20:50.313691,David Ekwueme
TXN100147,2116923,2026-09-09 15:01:38.279653,Paul Olawale
TXN100148,436132,2026-09-23 15:13:07.095830,Paul Oshodi
TXN200149,379826,2026-08-26 18:26:30.891669,John Chukwu
TXN100150,39743,2026-08-27 14:38:50.022401,Blessing Obi
TXN100151,1107394,2026-09-16 06:12:27.817418,Grace Nnamani
TXN100152,2207440,2026-09-09 00:11:30.716525,Benjamin Olawale
TXN100153,3716384,2026-08-27 11:46:10.996682,Comfort Chukwu
TXN100154,3597697,2026-09-16 03:49:15.967588,Mary Adetokunbo
TXN100155,948466,2026-09-22 04:38:26.207537,James Obasanjo
TXN100156,1260357,2026-09-05 13:48:47.945965,Elizabeth Oyekan
TXN100157,3107208,2026-08-31 05:17:09.848426,Patience Okonkwo
TXN100158,1252300,2026-09-06 14:08:38.712800,Stephen Oshodi
TXN100159,360885,2026-08-28 07:41:36.973883,Comfort Obasanjo
TXN100160,344377,2026-09-23 12:33:04.379354,Ruth Adeyemi
TXN100161,2103207,2026-09-12 06:33:15.087650,Benjamin Okafor
TXN200162,3418940,2026-08-28 21:01:51.950976,Angela Uche
TXN100163,1306229,2026-09-16 16:38:15.625543,Elizabeth Akinwale
TXN100164,1373163,2026-09-06 16:49:18.196601,Sarah Olawale
TXN100164,1373163,2026-09-06 16:49:18.196601,Sarah Olawale
TXN100165,1494747,2026-09-09 01:40:44.460755,Joshua Olawale
TXN200167,3463700,2026-09-02 09:52:16.860378,Juliet Eze
TXN100168,2091777,2026-09-03 23:45:11.371895,Michael Obi
TXN100169,916771,2026-09-09 08:02:38.353614,Charity Okafor
TXN200170,1875909,2026-08-29 09:11:40.424339,Agnes Chukwu
TXN200171,3871303,2026-09-18 20:26:28.264959,John Adetokunbo
TXN100172,2943147,2026-09-16 06:25:53.428800,Paul Eze
TXN100173,1919209,2026-09-22 14:03:05.166868,James Ogunleye
TXN100174,1630090,2026-08-28 17:48:26.227171,Grace Obasanjo
TXN100175,2347581,2026-09-10 11:32:07.118977,James Balogun
TXN100176,2351470,2026-09-18 17:01:03.261440,Faith Ibrahim
TXN100177,4283204,2026-09-17 05:49:05.850702,Emmanuel Obi
TXN100178,4508103,2026-09-10 23:07:04.188470,Elizabeth Adetokunbo
TXN100179,241530,2026-09-15 10:53:17.207375,Mary Adetokunbo
TXN100180,2201231,2026-09-20 11:09:04.682432,Agnes Obi
TXN100181,2236893,2026-08-30 18:58:19.989292,Samuel Ekwueme
TXN100182,3655385,2026-09-03 14:55:36.887157,Peter Ekwueme
TXN100183,2641316,2026-09-23 04:44:49.139990,Hope Ibrahim
TXN100184,4300127,2026-08-29 13:28:15.390220,Gloria Okafor
TXN100185,4846771,2026-09-17 06:18:11.363590,Comfort Balogun
TXN100187,24187,2026-09-12 21:54:43.981209,Joy Adetokunbo
TXN100188,4526862,2026-08-26 17:46:42.311247,Andrew Ekwueme
TXN100189,1662850,2026-09-16 18:13:05.542242,Gabriel Olawale
TXN100190,597424,2026-09-02 14:04:59.424092,Peter Adetokunbo
TXN100191,2779918,2026-09-20 10:25:59.524110,Simon Ekwueme
TXN100193,2529285,2026-09-12 22:08:44.009003,Joy Oyekan
TXN100194,3435848,2026-09-09 08:48:27.668333,James Adeyemi
TXN100195,2490135,2026-09-03 11:52:56.286931,Grace Oshodi
TXN100196,1619271,2026-09-15 11:35:43.143137,Joshua Ibrahim
TXN100197,3190501,2026-09-22 09:58:39.523107,Daniel Ojo
TXN100198,1469847,2026-09-10 17:13:39.103446,Elizabeth Obasanjo
TXN100199,2534550,2026-09-24 18:07:11.064185,Benjamin Obi
TXN100200,13405,2026-09-14 02:35:25.133289,Gloria Adetokunbo
TXN100201,1773140,2026-09-12 23:30:36.146766,Mary Chukwu
TXN100202,4875264,2026-09-10 02:03:42.477626,Simon Oyekan
TXN100203,2713222,2026-09-14 06:29:06.443717,Juliet Chukwu
TXN100204,3719105,2026-09-24 01:09:25.164822,Peter Olawale
TXN100205,4298038,2026-09-09 04:28:10.156535,Charity Okafor
TXN100206,1433474,2026-09-05 00:10:58.747173,Mark Adetokunbo
TXN100207,2390572,2026-08-31 11:39:41.177706,Peter Adeyemi
TXN100208,2821762,2026-09-23 12:24:20.100030,Philip Okafor
TXN100209,1980220,2026-09-21 12:53:54.227485,Hope Adeyemi
TXN200210,1246094,2026-08-26 21:11:15.861845,Joy Obasanjo
TXN100211,214895,2026-08-31 22:32:36.385625,Charity Adeyemi
TXN100212,3995732,2026-09-17 22:33:06.507064,Blessing Adeyemi
TXN100213,620927,2026-09-17 09:09:19.154797,Emmanuel Okafor
TXN100214,4839077,2026-09-14 03:09:31.478801,Agnes Abiola
TXN100215,3231044,2026-09-18 05:18:04.672181,Andrew Oshodi
TXN100216,2056689,2026-09-12 22:49:12.165849,Blessing Oshodi
TXN100217,56894,2026-08-28 17:10:51.434717,Cornelius Ekwueme
TXN100219,1845772,2026-09-11 19:58:14.531834,Juliet Ibrahim
TXN100220,4354944,2026-09-08 02:31:46.909975,Emmanuel Okafor
TXN100221,4685858,2026-09-11 14:35:41.525153,Mark Akinwale
TXN100222,1028029,2026-09-22 03:08:05.242195,Blessing Obi
TXN100223,3907709,2026-09-16 18:41:06.203154,Hope Okafor
TXN100224,4698605,2026-09-07 20:39:56.998561,Gabriel Uche
TXN100225,3722574,2026-09-09 04:26:19.157155,James Oshodi
TXN100226,4244386,2026-09-14 16:00:52.539894,Patience Uche
TXN100227,4605883,2026-09-07 23:56:16.656701,Elizabeth Olawale
TXN100229,3991857,2026-09-08 13:07:49.241961,Philip Obi
TXN200230,2336256,2026-08-31 04:06:40.021530,Mary Obasanjo
TXN100231,4382979,2026-09-08 07:07:47.537709,Esther Oyekan
TXN100232,2016939,2026-09-15 16:57:21.091162,Andrew Abiola
TXN100234,1977074,2026-09-05 16:52:57.826754,David Oyekan
TXN100235,2691500,2026-09-14 16:59:00.583928,Ruth Okonkwo
TXN100236,1170765,2026-08-27 03:35:20.820160,Hope Balogun
TXN100237,3223132,2026-09-07 08:28:10.824057,Paul Uche
TXN100238,1804766,2026-09-10 01:56:28.878019,Faith Adetokunbo
TXN100239,3429191,2026-09-19 16:43:36.902128,Joseph Abiola
TXN100240,3918456,2026-09-24 08:10:06.196936,Daniel Nnamani
TXN200241,3277168,2026-09-11 13:42:57.528153,Peter Oshodi
TXN100242,4909133,2026-09-14 23:19:35.947864,Hope Ekwueme
TXN100243,4839240,2026-09-08 01:32:54.354188,Hope Nnamani
TXN100244,59264,2026-08-30 11:11:41.840863,Cornelius Okonkwo
TXN200245,3525005,2026-09-25 00:05:51.065995,Nathaniel Ekwueme
TXN200247,1860012,2026-09-08 07:08:31.875434,David Ogunleye
TXN100248,4105565,2026-09-20 23:30:55.660144,Samuel Ekwueme
TXN100249,3666057,2026-09-04 21:12:00.000847,Daniel Nnamani
TXN100250,3271970,2026-09-08 10:09:08.058079,Peace Abiola
TXN100252,3930889,2026-09-06 08:45:15.073681,Angela Chukwu
TXN100253,4490553,2026-09-10 11:28:56.127490,Patience Ogunleye
TXN100254,3315281,2026-09-21 11:01:15.644720,Nathaniel Nnamani
TXN100255,237348,2026-09-15 08:45:01.013843,Gloria Ibrahim
TXN100256,3605464,2026-09-13 06:05:42.462276,Samuel Ekwueme
TXN100257,3883007,2026-08-31 07:47:42.276217,Esther Olawale
TXN100258,2192349,2026-09-20 22:34:54.561278,Grace Obi
TXN100259,1785535,2026-09-14 02:27:00.197796,Samuel Nnamani
TXN100261,3190341,2026-09-14 04:39:02.076281,Hope Akinwale
TXN100262,3546342,2026-09-13 10:14:40.052444,Paul Oshodi
TXN100263,697079,2026-09-18 18:05:58.405430,Joshua Abiola
TXN100264,4534974,2026-09-21 11:33:53.130850,Victoria Uche
TXN100265,2945680,2026-09-21 18:36:07.810417,David Uche
TXN200266,347709,2026-09-18 09:23:46.240294,Blessing Akinwale
TXN100267,270002,2026-09-21 12:26:19.952633,Charity Adetokunbo
TXN100268,180959,2026-09-25 01:14:17.456685,Hope Oshodi
TXN100269,2011060,2026-09-08 17:40:07.981417,Benjamin Ogunleye
TXN100270,969568,2026-09-20 23:41:21.478107,Michael Nnamani
TXN100271,1838419,2026-08-29 11:27:34.094126,Esther Oyekan
TXN100273,1417517,2026-09-11 11:39:51.586388,Peace Balogun
TXN100275,1383767,2026-08-28 09:41:05.026702,Faith Ojo
TXN100275,1383767,2026-08-28 09:41:05.026702,Faith Ojo
TXN100276,916798,2026-09-10 17:35:56.783767,Mary Okafor
TXN100277,2626887,2026-09-23 12:34:58.650497,Peter Obi
TXN100278,3158302,2026-09-22 05:37:55.156771,Grace Ibrahim
TXN100279,1673710,2026-09-01 04:36:34.971192,Paul Oshodi
TXN100280,2047168,2026-09-05 11:11:35.715888,Nathaniel Obi
TXN200281,1025483,2026-09-12 22:00:23.858335,Mark Eze
TXN200282,2922556,2026-09-08 21:37:43.650132,Paul Adetokunbo
TXN100283,4478991,2026-09-16 00:57:57.354286,Gloria Eze
TXN100284,3118573,2026-09-18 21:51:29.096808,Patience Nnamani
TXN100285,2872454,2026-09-19 16:14:39.479665,Blessing Adetokunbo
TXN200286,895324,2026-09-08 11:10:01.894882,Joy Adetokunbo
TXN100287,3646657,2026-09-03 09:55:53.840519,Gloria Obi
TXN100287,3646657,2026-09-03 09:55:53.840519,Gloria Obi
TXN100289,3663130,2026-09-22 16:28:06.856269,Cornelius Olawale
TXN100290,4386728,2026-09-25 02:35:57.059247,Philip Oshodi
TXN100290,4386728,2026-09-25 02:35:57.059247,Philip Oshodi
TXN100291,2275615,2026-09-22 08:16:50.712511,Peace Nnamani
TXN100293,3909643,2026-09-07 13:57:08.504028,James Obasanjo
TXN100294,4980037,2026-09-13 21:27:57.750876,Elizabeth Oshodi
TXN200295,736981,2026-09-06 06:01:07.378000,Emmanuel Okafor
TXN100296,2349568,2026-09-12 12:29:01.009175,David Olawale
TXN100297,3908257,2026-09-14 15:18:55.501042,Juliet Ibrahim
TXN100298,3189192,2026-08-29 16:46:50.278920,Stephen Obasanjo
TXN200299,1535383,2026-08-30 18:53:52.489778,Andrew Akinwale
TXN100300,4099865,2026-09-23 23:42:47.666810,Sarah Ogunleye
TXN100301,2177217,2026-08-28 22:39:23.875105,Simon Obasanjo
TXN100302,2327508,2026-09-22 18:05:45.294861,James Adetokunbo
TXN100303,4343370,2026-09-04 18:52:21.886163,Michael Ekwueme
TXN100305,4108488,2026-09-19 05:06:12.387293,Juliet Ojo
TXN100306,2025983,2026-09-25 07:18:47.082688,Blessing Okafor
TXN100307,4127307,2026-08-27 15:04:06.782218,Sarah Oyekan
TXN100308,154646,2026-09-13 14:15:34.289998,Comfort Oyekan
TXN100309,1868885,2026-09-11 03:27:39.442230,Joshua Okafor
TXN100310,2050991,2026-09-06 04:53:41.014705,Joshua Oyekan
TXN100311,4888441,2026-08-26 16:09:43.071365,Mark Nnamani
TXN100312,4652867,2026-09-04 08:47:56.430546,Emmanuel Abiola
TXN100313,3579384,2026-08-28 05:40:35.086480,Ruth Balogun
TXN100313,3579384,2026-08-28 05:40:35.086480,Ruth Balogun
TXN100314,4626993,2026-09-09 04:37:57.354338,Gloria Ogunleye
TXN100315,3816291,2026-09-09 02:06:24.799023,Peace Okonkwo
TXN100316,2118926,2026-08-30 05:49:43.021985,Juliet Ogunleye
TXN100317,1625514,2026-09-13 10:41:38.643909,David Chukwu
TXN100318,4505358,2026-09-03 13:26:37.551383,Faith Ogunleye
TXN100319,1563149,2026-09-11 08:06:05.572640,Victoria Okonkwo
TXN100320,4071752,2026-09-02 19:03:11.141815,Philip Oyekan
TXN100321,4955813,2026-09-22 16:35:49.540674,Benjamin Ogunleye
TXN100321,4955813,2026-09-22 16:35:49.540674,Benjamin Ogunleye
TXN100322,4410973,2026-09-02 09:37:32.675393,Philip Akinwale
TXN200323,2495095,2026-08-26 17:13:36.859113,Gabriel Obasanjo
TXN100324,1918267,2026-08-26 17:19:59.957724,Peter Balogun
TXN100325,2545604,2026-08-29 18:46:58.004301,Simon Akinwale
TXN100326,4490649,2026-09-04 06:56:36.373873,Hope Chukwu
TXN100327,391813,2026-09-11 21:52:12.490447,James Eze
TXN100327,391813,2026-09-11 21:52:12.490447,James Eze
TXN100328,4651911,2026-09-22 23:44:15.361302,Grace Okonkwo
TXN100329,1069309,2026-09-18 08:27:20.899178,Faith Olawale
TXN100330,4127788,2026-09-14 13:13:45.080257,Andrew Olawale
TXN100331,112889,2026-09-18 14:07:32.346997,Joshua Ekwueme
TXN100332,3947586,2026-08-28 17:57:43.474080,Joshua Uche
TXN100333,2868048,2026-09-20 19:35:06.307521,Blessing Nnamani
TXN100334,440979,2026-09-02 15:55:34.846396,Charity Ekwueme
TXN100335,4017482,2026-09-21 21:17:08.801180,Charity Adeyemi
TXN100336,558140,2026-09-21 22:57:54.409570,Mary Oyekan
TXN100337,631446,2026-09-11 16:12:23.809404,Samuel Nnamani
TXN100338,459705,2026-08-27 16:23:03.880593,Ruth Ogunleye
TXN100339,4731027,2026-09-22 14:25:14.948882,Esther Adetokunbo
TXN100340,2091976,2026-09-25 00:42:08.002164,Deborah Nnamani
TXN100341,3501120,2026-09-16 08:21:47.327425,Benjamin Ojo
TXN100343,3200842,2026-09-20 05:09:30.326352,Michael Uche
TXN100344,3723812,2026-09-01 12:34:27.869677,Grace Chukwu
TXN100345,4946906,2026-09-10 04:59:33.110706,Grace Chukwu
TXN100345,4946906,2026-09-10 04:59:33.110706,Grace Chukwu
TXN100346,2571715,2026-09-23 12:12:32.919097,Peace Oyekan
TXN100347,515248,2026-08-27 05:08:06.554420,Nathaniel Eze
TXN100348,842143,2026-09-10 10:10:38.935243,Emmanuel Adeyemi
TXN100349,1780207,2026-09-14 18:21:23.381399,Victoria Oshodi
TXN100350,691049,2026-09-18 02:02:02.005871,Joseph Akinwale
TXN100351,1468053,2026-09-15 09:35:39.642066,Ruth Uche
TXN100352,1323090,2026-09-13 03:42:20.602493,Deborah Oyekan
TXN100353,3789098,2026-09-13 23:43:56.354730,Daniel Chukwu
TXN100354,3951911,2026-08-29 07:38:28.029045,Joshua Ekwueme
TXN100355,1951763,2026-08-26 18:59:50.455323,Samuel Ogunleye
TXN100357,3818690,2026-08-28 10:11:50.926738,Peter Adetokunbo
TXN100358,1968406,2026-09-20 13:53:53.410298,Simon Obi
TXN100359,4957513,2026-09-17 01:53:08.044248,Patience Chukwu
TXN100360,1669427,2026-09-07 06:43:24.505268,Blessing Oshodi
TXN100361,4578120,2026-09-05 01:55:35.462945,Angela Ekwueme
TXN100362,1260159,2026-09-19 14:55:48.718390,Hope Chukwu
TXN100363,1203164,2026-09-02 21:16:47.478647,Blessing Okafor
TXN200364,4784854,2026-09-24 05:03:18.872879,Blessing Oyekan
TXN100365,2431041,2026-09-09 19:11:47.135646,Elizabeth Abiola
TXN100366,3941723,2026-09-20 05:13:35.778150,Charity Balogun
TXN100367,3386498,2026-09-06 09:19:53.553831,Agnes Akinwale
TXN100368,4539693,2026-09-18 07:28:52.035977,Mary Balogun
TXN100369,684795,2026-09-15 06:51:50.788724,Peace Abiola
TXN100371,2110238,2026-09-25 03:44:45.836500,Victoria Balogun
TXN100372,1930357,2026-09-21 07:13:42.919333,Esther Abiola
TXN100372,1930357,2026-09-21 07:13:42.919333,Esther Abiola
TXN100373,4835119,2026-09-23 14:28:22.962979,Stephen Okonkwo
TXN100374,184025,2026-09-15 06:48:23.962113,Philip Abiola
TXN100374,184025,2026-09-15 06:48:23.962113,Philip Abiola
TXN100375,2270822,2026-09-02 04:09:02.569390,Andrew Chukwu
TXN100376,1479606,2026-09-07 04:08:00.989987,Angela Ibrahim
TXN100377,3719374,2026-09-11 22:31:10.383832,Nathaniel Obi
TXN100378,4920100,2026-09-15 06:07:59.211420,Nathaniel Ogunleye
TXN100379,4134894,2026-09-16 00:22:00.020179,Emmanuel Oyekan
TXN100379,4134894,2026-09-16 00:22:00.020179,Emmanuel Oyekan
TXN100380,3952732,2026-09-22 15:02:44.728489,Comfort Ekwueme
TXN100381,2805993,2026-09-25 03:49:54.598258,Simon Oyekan
TXN200382,2776593,2026-09-02 11:32:46.692797,Faith Akinwale
TXN100383,3463129,2026-09-20 21:16:50.550396,Patience Ekwueme
TXN100384,2427746,2026-09-16 20:03:28.373234,Elizabeth Obasanjo
TXN200385,4624544,2026-08-30 19:10:55.944889,Deborah Adetokunbo
TXN100386,317837,2026-09-23 19:21:30.613313,Joshua Ibrahim
TXN100387,2648361,2026-08-27 12:29:21.890381,Patience Obi
TXN100388,982420,2026-08-27 19:31:55.412055,Philip Okonkwo
TXN100388,982420,2026-08-27 19:31:55.412055,Philip Okonkwo
TXN100389,3400810,2026-09-06 12:53:46.243777,Faith Ogunleye
TXN100390,19655,2026-09-17 02:55:45.465460,Philip Balogun
TXN100391,4561604,2026-08-28 09:30:47.721457,Patience Olawale
TXN100392,464696,2026-08-28 11:21:42.622938,Joshua Balogun
TXN100393,3044825,2026-09-20 12:36:34.928537,Angela Abiola
TXN100394,4191663,2026-08-29 17:10:35.298338,Cornelius Chukwu
TXN100395,442950,2026-09-17 08:59:47.474880,Emmanuel Ogunleye
TXN100396,4617188,2026-09-18 03:55:36.753700,Blessing Adetokunbo
TXN100397,2426163,2026-08-27 03:40:00.579694,Sarah Balogun
TXN100398,4076057,2026-08-29 10:41:02.990136,Mary Oyekan
TXN100400,2616761,2026-08-27 23:36:40.816459,Deborah Uche
TXN100401,4642620,2026-09-22 00:37:09.005161,Hope Abiola
TXN100402,1894925,2026-09-04 04:34:00.184739,Esther Obasanjo
TXN100402,1894925,2026-09-04 04:34:00.184739,Esther Obasanjo
TXN100403,961780,2026-09-15 13:10:14.044855,Mark Uche
TXN100404,995377,2026-09-08 13:02:06.310120,Patience Uche
TXN100405,1301603,2026-09-01 22:31:14.851751,Ruth Abiola
TXN100406,2458312,2026-08-29 18:31:11.145028,Gabriel Ekwueme
